fecha,titulo,ranking_real,ranking_pred,V,prob_rank1
2013-03-23,Bad,45,40,2.281158,0.019607
2013-03-23,Wanted,46,34,2.293293,0.019847
2013-03-23,My Songs Know What You Did In The Dark (Light Em Up),47,47,2.228504,0.018602
2013-03-23,One Of Those Nights,48,33,2.293293,0.019847
2013-03-23,Better Dig Two,49,36,2.293293,0.019847
2013-03-23,Get Your Shine On,50,43,2.258131,0.019161
2013-03-30,Harlem Shake,1,49,2.226736,0.018472
2013-03-30,Thrift Shop,2,1,2.367091,0.021255
2013-03-30,When I Was Your Man,3,30,2.297245,0.019821
2013-03-30,Suit & Tie,4,12,2.342221,0.020733
2013-03-30,Stay,5,18,2.30471,0.01997
2013-03-30,Started From The Bottom,6,45,2.246491,0.01884
2013-03-30,I Knew You Were Trouble.,7,29,2.297245,0.019821
2013-03-30,Scream & Shout,8,2,2.367091,0.021255
2013-03-30,Just Give Me A Reason,9,39,2.285727,0.019594
2013-03-30,Love Me,10,14,2.340095,0.020689
2013-03-30,Feel This Moment,11,15,2.331658,0.020515
2013-03-30,Daylight,12,32,2.297245,0.019821
2013-03-30,Locked Out Of Heaven,13,20,2.297245,0.019821
2013-03-30,Ho Hey,14,31,2.297245,0.019821
2013-03-30,Don't You Worry Child,15,4,2.367091,0.021255
2013-03-30,F**kin Problems,16,3,2.367091,0.021255
2013-03-30,Sweet Nothing,17,8,2.367091,0.021255
2013-03-30,Radioactive,18,24,2.297245,0.019821
2013-03-30,Heart Attack,19,50,2.190836,0.01782
2013-03-30,Pour It Up,20,37,2.288549,0.01965
2013-03-30,I Will Wait,21,7,2.367091,0.021255
2013-03-30,It's Time,22,23,2.297245,0.019821
2013-03-30,Girl On Fire,23,6,2.367091,0.021255
2013-03-30,Sure Be Cool If You Did,24,40,2.280642,0.019495
2013-03-30,Mirrors,25,48,2.230467,0.018541
2013-03-30,Carry On,26,38,2.288549,0.01965
2013-03-30,Catch My Breath,27,19,2.297245,0.019821
2013-03-30,Little Talks,28,5,2.367091,0.021255
2013-03-30,Gangnam Style,29,21,2.297245,0.019821
2013-03-30,Poetic Justice,30,9,2.367091,0.021255
2013-03-30,Troublemaker,31,13,2.340095,0.020689
2013-03-30,Try,32,22,2.297245,0.019821
2013-03-30,Beauty And A Beat,33,10,2.367091,0.021255
2013-03-30,I Love It,34,17,2.307333,0.020022
2013-03-30,Downtown,35,47,2.242338,0.018762
2013-03-30,My Songs Know What You Did In The Dark (Light Em Up),36,46,2.242338,0.018762
2013-03-30,Sail,37,44,2.265684,0.019205
2013-03-30,Bad,38,36,2.295387,0.019784
2013-03-30,Mama's Broken Heart,39,43,2.265684,0.019205
2013-03-30,Can't Hold Us,40,16,2.316714,0.020211
2013-03-30,Home,41,34,2.297245,0.019821
2013-03-30,One More Night,42,26,2.297245,0.019821
2013-03-30,Diamonds,43,27,2.297245,0.019821
2013-03-30,Two Black Cadillacs,44,28,2.297245,0.019821
2013-03-30,All Gold Everything,45,25,2.297245,0.019821
2013-03-30,Adorn,46,33,2.297245,0.019821
2013-03-30,Wagon Wheel,47,42,2.270015,0.019289
2013-03-30,Bugatti,48,41,2.272387,0.019335
2013-03-30,Some Nights,49,35,2.297245,0.019821
2013-03-30,Hall Of Fame,50,11,2.367091,0.021255
2013-04-06,Thrift Shop,1,1,2.370503,0.021307
2013-04-06,Harlem Shake,2,48,2.240557,0.018711
2013-04-06,Suit & Tie,3,11,2.34809,0.020835
2013-04-06,When I Was Your Man,4,32,2.300535,0.019867
2013-04-06,Stay,5,17,2.316714,0.020192
2013-04-06,Just Give Me A Reason,6,33,2.299991,0.019857
2013-04-06,Started From The Bottom,7,44,2.258131,0.019043
2013-04-06,Feel This Moment,8,14,2.340095,0.020669
2013-04-06,Love Me,9,12,2.347145,0.020815
2013-04-06,I Knew You Were Trouble.,10,29,2.300535,0.019867
2013-04-06,Scream & Shout,11,2,2.370503,0.021307
2013-04-06,Daylight,12,31,2.300535,0.019867
2013-04-06,Mirrors,13,47,2.244316,0.018781
2013-04-06,Locked Out Of Heaven,14,19,2.300535,0.019867
2013-04-06,Radioactive,15,30,2.300535,0.019867
2013-04-06,Sweet Nothing,16,3,2.370503,0.021307
2013-04-06,Ho Hey,17,20,2.300535,0.019867
2013-04-06,F**kin Problems,18,8,2.370503,0.021307
2013-04-06,Pour It Up,19,35,2.293293,0.019724
2013-04-06,Don't You Worry Child,20,7,2.370503,0.021307
2013-04-06,Heart Attack,21,49,2.210309,0.018153
2013-04-06,I Will Wait,22,6,2.370503,0.021307
2013-04-06,It's Time,23,22,2.300535,0.019867
2013-04-06,Carry On,24,36,2.293293,0.019724
2013-04-06,Sure Be Cool If You Did,25,39,2.286325,0.019587
2013-04-06,22,26,34,2.297245,0.019802
2013-04-06,Can't Hold Us,27,15,2.326773,0.020396
2013-04-06,My Songs Know What You Did In The Dark (Light Em Up),28,46,2.253952,0.018963
2013-04-06,Little Talks,29,4,2.370503,0.021307
2013-04-06,Troublemaker,30,13,2.347145,0.020815
2013-04-06,Girl On Fire,31,5,2.370503,0.021307
2013-04-06,Catch My Breath,32,21,2.300535,0.019867
2013-04-06,I Love It,33,16,2.317343,0.020204
2013-04-06,Gangnam Style,34,25,2.300535,0.019867
2013-04-06,Poetic Justice,35,10,2.370503,0.021307
2013-04-06,Bad,36,18,2.307333,0.020003
2013-04-06,Try,37,28,2.300535,0.019867
2013-04-06,Wagon Wheel,38,40,2.27681,0.019402
2013-04-06,Bugatti,39,38,2.28655,0.019592
2013-04-06,Downtown,40,45,2.253952,0.018963
2013-04-06,Mama's Broken Heart,41,43,2.273833,0.019344
2013-04-06,#thatPOWER,42,50,2.132565,0.016796
2013-04-06,Sail,43,42,2.273833,0.019344
2013-04-06,Beauty And A Beat,44,9,2.370503,0.021307
