,tau
1175,0
1176,0
1177,8
1178,3
1179,9
1180,5
1181,11
1182,7
1183,11
1184,5
1185,4
1186,11
1187,4
1188,11
1189,3
1190,2
1191,11
1192,11
1193,8
1194,3
1195,11
1196,3
1197,11
1198,7
1199,2
1200,6
1201,12
1202,12
1203,12
1204,12
1205,12
1206,12
1207,5
1208,8
1209,5
1210,8
1211,5
1212,7
1213,6
1214,12
1215,12
1216,12
1217,12
1218,12
1219,12
1220,10
1221,7
1222,4
1223,12
1224,12
1225,4
1226,4
1227,12
1228,12
1229,9
1230,5
1231,5
1232,12
1233,12
1234,4
1235,9
1236,8
1237,12
1238,12
1239,12
1240,12
1241,12
1242,12
1243,2
1244,10
1245,12
1246,12
1247,7
1248,12
1249,12
1250,10
1251,5
1252,10
1253,1
1254,5
1255,9
1256,3
1257,3
1258,12
1259,12
1260,0
1261,0
1262,12
1263,0
1264,2
1265,2
1266,0
1267,2
1268,11
1269,7
1270,12
1271,2
1272,1
1273,12
1274,12
1275,12
1276,4
1277,1
1278,7
1279,12
1280,12
1281,11
1282,6
1283,4
1284,1
1285,4
1286,5
1287,12
1288,5
1289,11
1290,12
1291,9
1292,12
1293,3
1294,12
1295,12
1296,12
1297,8
1298,5
1299,12
1300,13
1301,7
1302,13
1303,7
1304,9
1305,13
1306,6
1307,13
1308,13
1309,6
1310,13
1311,9
1312,5
1313,6
1314,8
1315,0
1316,8
1317,13
1318,13
1319,13
1320,12
1321,13
1322,10
1323,5
1324,13
1325,13
1326,13
1327,5
1328,10
1329,13
1330,6
1331,5
1332,6
1333,8
1334,9
1335,11
1336,13
1337,13
1338,13
1339,13
1340,13
1341,13
1342,13
1343,11
1344,13
1345,3
1346,13
1347,13
1348,8
1349,11
1350,5
1351,0
1352,13
1353,1
1354,2
1355,0
1356,5
1357,10
1358,3
1359,0
1360,1
1361,13
1362,12
1363,0
1364,3
1365,0
1366,4
1367,1
1368,8
1369,13
1370,0
1371,13
1372,2
1373,13
1374,11
1375,3
1376,4
1377,10
1378,13
1379,5
1380,13
1381,13
1382,6
1383,10
1384,6
1385,2
1386,4
1387,12
1388,7
1389,0
1390,6
1391,0
1392,13
1393,9
1394,13
1395,6
1396,13
1397,6
1398,2
1399,13
1400,11
1401,13
1402,14
1403,7
1404,10
1405,10
1406,14
1407,6
1408,7
1409,7
1410,12
1411,9
1412,14
1413,9
1414,14
1415,9
1416,14
1417,14
1418,6
1419,14
1420,14
1421,14
1422,14
1423,14
1424,14
1425,6
1426,14
